iter	Passed	Remaining
808	2668	630
809	2671	626
810	2674	623
811	2677	619
812	2679	616
813	2682	612
814	2685	609
815	2688	606
816	2691	602
817	2693	599
818	2695	595
819	2698	592
820	2701	589
821	2704	585
822	2708	582
823	2711	579
824	2713	575
825	2716	572
826	2720	569
827	2723	565
828	2726	562
829	2729	558
830	2732	555
831	2734	552
832	2737	548
833	2740	545
834	2743	542
835	2746	538
836	2749	535
837	2752	532
838	2756	528
839	2758	525
840	2763	522
841	2766	519
842	2769	515
843	2772	512
844	2775	509
845	2778	505
846	2781	502
847	2784	499
848	2786	495
849	2789	492
850	2792	488
851	2795	485
852	2797	482
853	2800	478
854	2805	475
855	2810	472
856	2818	470
857	2825	467
858	2829	464
859	2832	461
860	2836	457
861	2839	454
862	2842	451
863	2845	447
864	2848	444
865	2851	441
866	2854	437
867	2856	434
868	2859	431
869	2862	427
870	2865	424
871	2868	421
872	2871	417
873	2874	414
874	2876	410
875	2879	407
876	2881	404
877	2885	400
878	2888	397
879	2891	394
880	2894	390
881	2898	387
882	2901	384
883	2904	381
884	2907	377
885	2910	374
886	2914	371
887	2919	368
888	2924	365
889	2928	361
890	2931	358
891	2933	355
892	2936	351
893	2939	348
894	2942	345
895	2946	341
896	2949	338
897	2952	335
898	2955	332
899	2957	328
900	2960	325
901	2963	321
902	2966	318
903	2969	315
904	2973	312
905	2975	308
906	2978	305
907	2982	302
908	2984	298
909	2988	295
910	2991	292
911	2994	288
912	2997	285
913	3001	282
914	3004	279
915	3006	275
916	3009	272
917	3013	269
918	3015	265
919	3018	262
920	3021	259
921	3025	255
922	3028	252
923	3031	249
924	3034	246
925	3037	242
926	3040	239
927	3043	236
928	3046	232
929	3049	229
930	3052	226
931	3055	222
932	3058	219
933	3062	216
934	3065	213
935	3070	209
936	3073	206
937	3076	203
938	3080	200
939	3084	196
940	3086	193
941	3089	190
942	3093	186
943	3095	183
944	3099	180
945	3102	177
946	3104	173
947	3107	170
948	3110	167
949	3113	163
950	3116	160
951	3118	157
952	3121	153
953	3124	150
954	3127	147
955	3130	144
956	3134	140
957	3136	137
958	3140	134
959	3143	130
960	3146	127
961	3149	124
962	3152	121
963	3155	117
964	3158	114
965	3160	111
966	3164	107
967	3166	104
968	3169	101
969	3172	98
970	3175	94
971	3178	91
972	3182	88
973	3184	85
974	3187	81
975	3189	78
976	3192	75
977	3195	71
978	3199	68
979	3202	65
980	3204	62
981	3207	58
982	3210	55
983	3213	52
984	3216	48
985	3219	45
986	3222	42
987	3225	39
988	3228	35
989	3231	32
990	3233	29
991	3236	26
992	3239	22
993	3242	19
994	3245	16
995	3248	13
996	3251	9
997	3254	6
998	3257	3
999	3260	0
